	1000_908	1000	1293_1000	1293_1591	1591	908_1591	908	Phase	X	Y
116	1.4924	0.548505	0.506324	1.31899	0.210557	1.71443	0.369498	2	-19.55533	11.9684
117	1.32212	0.487081	0.525246	0.957234	0.267267	1.35521	0.369323	1	-18.550945	11.9684
118	1.26659	0.646698	0.628654	1.08434	0.374927	1.43197	0.517583	1	-17.54656	11.9684
119	1.57351	0.722828	0.552207	1.39002	0.287155	1.63168	0.469088	2	-16.542175	11.9684
120	1.49078	0.619595	0.404673	1.04847	0.239142	1.76094	0.436551	2	-15.537791	11.9684
121	1.55682	0.710215	0.506269	0.981732	0.366251	1.27704	0.469525	1	-14.533407	11.9684
122	1.40251	0.655586	0.727024	1.56312	0.30492	1.46519	0.462727	2	-13.529023	11.9684
123	1.12035	0.549585	0.602808	0.854837	0.387552	1.28429	0.493173	1	-12.524638	11.9684
124	1.25672	0.724344	0.54952	1.00925	0.394394	1.48444	0.57394	1	-11.520254	11.9684
125	1.47648	0.66979	0.470035	0.796701	0.39516	1.16178	0.455719	1	-10.515869	11.9684
126	1.42415	0.567556	0.404752	0.827157	0.277722	1.47266	0.402125	2	-9.5114851	11.9684
127	1.08349	0.592704	0.459869	1.03772	0.262658	1.96699	0.543922	2	-8.5071011	11.9684
128	1.63869	0.805704	0.674552	0.905733	0.600054	0.815265	0.497173	3	-7.5027161	11.9684
129	1.32175	0.699368	0.49658	0.883521	0.393078	1.34278	0.52936	1	-6.498332	11.9684
130	1.34513	0.848316	0.735041	1.16599	0.534778	1.20543	0.638661	1	-5.4939475	11.9684
131	1.04748	0.990016	0.829256	1.0081	0.814378	1.15566	0.939471	3	-4.489563	11.9684
132	1.13812	1.16862	0.751085	1.00718	0.871468	1.17757	1.02385	3	-3.4851785	11.9684
133	1.41956	1.6191	0.746699	1.13146	1.06851	1.06921	1.14572	3	-2.480794	11.9684
134	1.22763	1.11328	0.713969	0.883441	0.899716	0.978122	0.897866	3	-1.4764097	11.9684
135	1.44148	1.22119	0.676282	0.890732	0.927177	0.900032	0.846907	3	-0.47202519	11.9684
136	1.34243	0.890932	0.620268	0.995376	0.555184	1.2367	0.676858	1	0.53235924	11.9684
137	1.40262	0.593202	0.588142	1.06982	0.326118	1.3342	0.426061	1	1.5367436	11.9684
138	1.26338	0.583287	0.780685	1.61757	0.281511	1.57764	0.460243	2	2.5411282	11.9684
139	1.77905	0.587674	0.445836	1.39888	0.187297	1.88741	0.340435	2	3.5455124	11.9684
140	1.67658	0.531258	0.480782	0.8872	0.287894	1.11531	0.315535	2	4.5498972	11.9684
141	1.19011	0.759871	0.851546	1.37658	0.470052	1.28564	0.630942	1	5.5542812	11.9684
142	1.80027	0.574971	0.351271	0.907799	0.222483	1.42936	0.326077	2	6.5586658	11.9684
143	1.20124	0.704291	0.742022	1.50514	0.347211	1.6581	0.584862	2	7.5630503	11.9684
144	1.36019	0.487904	0.49386	1.15686	0.208285	1.7702	0.356118	2	8.5674343	11.9684
145	1.04431	1.0348	0.970745	1.31888	0.761648	1.33032	1.00451	3	9.5718193	11.9684
146	1.0887	1.31578	1.09577	1.23479	1.16765	1.02301	1.19538	3	10.576203	11.9684
147	1.1185	0.834656	0.465269	0.957321	0.405652	1.86559	0.764679	2	11.580588	11.9684
148	1.1936	0.581207	0.695318	1.06227	0.380434	1.28683	0.491053	1	12.584972	11.9684
149	1.47356	0.689577	0.653046	1.14367	0.393756	1.19581	0.46363	1	13.589356	11.9684
150	1.2081	0.600697	0.491468	0.869969	0.339349	1.53107	0.502927	2	14.593741	11.9684
151	1.29432	0.606662	0.66383	0.924831	0.435453	1.08105	0.471184	1	15.598125	11.9684
152	1.20628	0.551013	0.479336	0.828686	0.318722	1.46529	0.458885	1	16.60251	11.9684
153	1.3625	0.566552	0.622932	0.777541	0.453897	0.948497	0.427451	1	17.606895	11.9684
154	1.67152	0.614777	0.663311	0.942949	0.432461	0.843498	0.367459	1	18.611279	11.9684
155	1.27391	0.597631	0.849684	1.0904	0.465697	1.00402	0.466403	1	-19.55533	10.9412
156	1.41355	0.577408	0.9039	1.31467	0.396998	1.06655	0.421073	1	-18.550945	10.9412
157	1.19823	0.572291	0.56882	0.923087	0.352654	1.36961	0.476923	1	-17.54656	10.9412
158	1.35973	0.507685	0.502309	1.32029	0.193151	1.86139	0.383828	2	-16.542175	10.9412
159	1.47579	0.630111	0.516116	0.845248	0.384751	1.13279	0.431763	1	-15.537791	10.9412
160	1.07516	0.529471	0.673824	0.973392	0.366522	1.33141	0.49669	1	-14.533407	10.9412
161	1.57724	0.668816	0.459872	1.2312	0.249813	1.81647	0.429732	2	-13.529023	10.9412
162	1.2695	0.659287	0.605469	0.919209	0.434263	1.22452	0.528845	1	-12.524638	10.9412
163	1.42428	0.5351	0.416612	0.902277	0.247074	1.50012	0.376068	2	-11.520254	10.9412
164	1.69234	0.790777	0.793881	1.06076	0.591826	0.804528	0.459798	3	-10.515869	10.9412
165	1.19707	1.08537	0.830154	0.863139	1.04389	0.871143	0.905332	3	-9.5114851	10.9412
166	1.30427	0.963905	0.894182	1.08717	0.792801	0.926215	0.730055	3	-8.5071011	10.9412
167	1.38833	0.830765	0.728755	1.12009	0.540512	1.11263	0.591506	1	-7.5027161	10.9412
168	1.26898	0.620938	0.668307	0.885015	0.468893	1.02803	0.489307	1	-6.498332	10.9412
169	1.14149	0.712399	0.748113	1.0603	0.502643	1.22999	0.623436	1	-5.4939475	10.9412
170	1.30107	0.913902	0.464801	0.889676	0.477458	1.48359	0.716687	1	-4.489563	10.9412
171	1.32477	1.6357	0.591244	0.789589	1.22481	1.04865	1.25063	3	-2.480794	10.9412
172	1.46662	1.4584	0.745819	0.869788	1.25054	0.798277	0.985075	3	-1.4764097	10.9412
173	1.37263	1.35036	0.863579	1.0578	1.10242	0.900646	0.985705	3	-0.47202519	10.9412
