	HC	wG	D5G	D1G	D4D5G	DG	Phase	X	Y
3954	0.362863893	35.6389	0.476387004	1.722055757	0.559338409	2.357411883	6	23.903194	-31.2838
3955	0.43032901	36.0691	0.552843393	1.5718081	0.635356126	2.134181737	6	25.160017	-31.2838
3956	0.369206528	36.1589	0.483574941	1.662869559	0.562373637	2.258558894	6	26.41684	-31.2838
3957	0.398168933	36.5757	0.51639725	1.651212732	0.595689335	2.096314341	6	27.67366	-31.2838
3958	0.280538025	36.1126	0.38308933	1.807305317	0.445101609	2.433083658	6	28.930483	-31.2838
3959	0.426718694	35.754	0.54875192	1.464107618	0.62577834	2.139143125	6	30.187304	-31.2838
3960	0.458161572	35.6012	0.584385281	1.533467876	0.675035508	2.131923376	6	31.444126	-31.2838
3961	0.391661754	36.0272	0.50902284	1.666987281	0.5984555	2.145575302	6	32.700947	-31.2838
3962	0.306325726	36.5992	0.412313833	1.779853066	0.478588021	2.1969478	6	33.957771	-31.2838
3963	0.262163445	36.0906	0.362265917	2.015603644	0.417094734	2.477209384	6	35.214592	-31.2838
3964	0.28848263	35.7552	0.392092736	1.880616251	0.461605739	2.442973191	6	36.471413	-31.2838
3965	0.3649468	35.9301	0.478747507	1.804196184	0.562356939	1.804196184	4	37.728237	-31.2838
3966	0.412885418	42.0561	0.533075043	1.63529337	0.624079104	2.036245587	4	-42.708363	-32.5405
3967	0.295101625	39.5078	0.399593863	1.886544659	0.400952218	2.656951383	4	-41.451542	-32.5405
3968	0.463810157	40.9451	0.590786669	1.510673648	0.770406724	2.199218608	4	-40.194717	-32.5405
3969	0.462693405	37.6648	0.589521084	1.525470238	0.68854496	2.045377119	6	-38.937897	-32.5405
3970	0.299390171	41.8077	0.404453956	1.658519325	0.519906881	2.291606003	4	-37.681076	-32.5405
3971	0.436633533	39.9309	0.559988138	1.745645689	0.633086678	2.441145822	6	-36.424252	-32.5405
3972	0.490346191	40.9246	0.620859237	1.29958796	0.695500133	1.864058715	4	-35.167431	-32.5405
3973	0.387288319	36.7253	0.504066545	1.70603741	0.564470756	2.261375646	6	-33.91061	-32.5405
3974	0.393900913	38.7747	0.511560418	1.590824432	0.555338236	2.014609826	4	-32.65379	-32.5405
3975	0.27678953	38.4763	0.378841262	1.840391524	0.423785394	2.547893725	4	-31.396967	-32.5405
3976	0.495896846	37.3397	0.627149644	1.348882891	0.707502201	2.05490284	6	-30.140144	-32.5405
3977	0.490707995	36.7283	0.62126926	1.409681234	0.706019949	2.139943819	6	-28.883322	-32.5405
3978	0.518918746	36.1923	0.653239739	1.274316912	0.730262584	1.874313233	6	-27.626501	-32.5405
3979	0.401182171	36.0777	0.51981207	1.511666495	0.599996321	2.180833849	6	-26.369678	-32.5405
3980	0.453532151	36.9906	0.579138883	1.494762977	0.669167354	2.185435007	6	-25.112856	-32.5405
3981	0.471932144	37.8657	0.599991097	1.510907789	0.69067203	2.165604632	6	-23.856035	-32.5405
3982	0.444089707	37.6928	0.568438018	1.75725497	0.654696843	2.269291233	6	-22.599213	-32.5405
3983	0.345495649	38.899	0.456704045	1.479904702	0.512036262	2.198183707	6	-21.342392	-32.5405
3984	0.519027119	37.419	0.653362555	1.303638309	0.718279006	2.040897905	6	-20.085569	-32.5405
3985	0.52509941	37.4158	0.660244119	1.36001534	0.737259595	1.76518443	6	-18.828747	-32.5405
3986	0.239122339	37.7123	0.336154055	1.959920827	0.40516909	2.702463272	4	-17.571926	-32.5405
3987	0.525132335	38.0669	0.660281431	1.255800607	0.742542445	2.002642303	6	-16.315104	-32.5405
3988	0.523970031	37.7151	0.658964223	1.410391146	0.746841696	1.956672796	6	-15.058282	-32.5405
3989	0.368322376	37.7221	0.482572956	1.869041275	0.54628165	2.56104996	6	-13.80146	-32.5405
3990	0.469952064	37.2941	0.597747126	1.372521073	0.692008685	1.917304324	6	-12.544639	-32.5405
3991	0.359228305	36.6713	0.472266892	1.763922205	0.544783251	2.472904997	6	-11.287816	-32.5405
3992	0.485608462	36.1741	0.615490097	1.519104865	0.708982792	1.969296423	6	-10.030994	-32.5405
3993	0.281176791	36.891	0.383813227	2.032116613	0.450191558	2.781353323	6	-8.7741728	-32.5405
3994	0.53473729	38.3161	0.671166467	1.519830065	0.74923671	2.101718273	6	-7.5173512	-32.5405
3995	0.393687622	37.6062	0.511318701	1.997889971	0.581888209	2.599796308	6	-6.260529	-32.5405
3996	0.22657274	53.8366	0.321931936	1.517616343	0.601906337	2.469054169	3	-5.0037074	-32.5405
3997	0.782048738	100	0.951437827	2.142082481	0.951437827	2.674103508	3	-3.7468853	-32.5405
3998	0	100	0	1.070641113	0.532021027	1.676380281	5	-2.4900634	-32.5405
3999	0.477004242	68.8365	0.605739168	1.214172834	0.605739168	1.786048011	3	-1.2332417	-32.5405
4000	0.303296643	45.2979	0.408881055	1.486727739	0.571875177	2.101810788	4	0.023580147	-32.5405
4001	0.405289522	37.0345	0.52446682	1.760584288	0.615083049	2.178688877	6	1.2804019	-32.5405
4002	0.218439808	37.0388	0.312715104	1.940355056	0.418104589	2.464541215	6	2.5372238	-32.5405
4003	0.336598688	36.2958	0.44662136	1.640120407	0.524186158	2.036015596	6	3.7940457	-32.5405
